城市,日期,小时,AQI,空气质量等级,PM2.5
廊坊市,2025-12-05,3,42.0,优,26.0
廊坊市,2025-12-05,5,46.0,优,28.0
衡水市,2025-12-04,19,66.0,良,31.0
衡水市,2025-12-05,0,51.0,良,26.0
衡水市,2025-12-04,22,57.0,良,28.0
衡水市,2025-12-05,2,54.0,良,35.0
衡水市,2025-12-05,6,47.0,优,28.0
衡水市,2025-12-05,8,50.0,优,32.0
衡水市,2025-12-04,20,63.0,良,34.0
衡水市,2025-12-05,4,52.0,良,32.0
衡水市,2025-12-04,23,56.0,良,31.0
衡水市,2025-12-05,1,52.0,良,28.0
衡水市,2025-12-04,21,62.0,良,34.0
衡水市,2025-12-05,7,48.0,优,32.0
衡水市,2025-12-05,3,54.0,良,35.0
衡水市,2025-12-05,5,50.0,优,29.0
北京,2025-12-04,11,19.0,优,3.0
北京,2025-12-04,15,19.0,优,4.0
北京,2025-12-04,22,34.0,优,16.0
北京,2025-12-04,12,19.0,优,4.0
北京,2025-12-04,18,18.0,优,8.0
北京,2025-12-04,16,18.0,优,4.0
北京,2025-12-04,13,19.0,优,4.0
北京,2025-12-05,0,34.0,优,16.0
北京,2025-12-04,20,28.0,优,14.0
北京,2025-12-05,4,32.0,优,15.0
北京,2025-12-05,1,32.0,优,15.0
北京,2025-12-04,17,16.0,优,6.0
北京,2025-12-05,8,31.0,优,14.0
北京,2025-12-05,6,31.0,优,14.0
北京,2025-12-04,23,37.0,优,18.0
北京,2025-12-04,14,19.0,优,4.0
北京,2025-12-05,5,31.0,优,14.0
北京,2025-12-05,2,32.0,优,14.0
北京,2025-12-04,21,29.0,优,14.0
北京,2025-12-05,9,35.0,优,15.0
北京,2025-12-05,7,31.0,优,15.0
北京,2025-12-05,3,32.0,优,15.0
北京,2025-12-04,19,25.0,优,12.0
天津,2025-12-04,11,26.0,优,9.0
天津,2025-12-04,15,19.0,优,4.0
天津,2025-12-04,22,42.0,优,20.0
天津,2025-12-04,12,20.0,优,7.0
天津,2025-12-04,18,23.0,优,10.0
天津,2025-12-04,16,18.0,优,4.0
天津,2025-12-04,13,18.0,优,4.0
天津,2025-12-05,0,53.0,良,29.0
天津,2025-12-04,20,34.0,优,16.0
天津,2025-12-05,4,54.0,良,33.0
天津,2025-12-05,1,55.0,良,31.0
天津,2025-12-04,17,16.0,优,6.0
天津,2025-12-05,8,49.0,优,26.0
天津,2025-12-05,6,45.0,优,25.0
天津,2025-12-04,23,51.0,良,28.0
天津,2025-12-04,14,19.0,优,4.0
天津,2025-12-05,5,50.0,优,29.0
天津,2025-12-05,2,56.0,良,34.0
天津,2025-12-04,21,35.0,优,16.0
天津,2025-12-05,9,49.0,优,27.0
天津,2025-12-05,7,49.0,优,28.0
天津,2025-12-05,3,56.0,良,35.0
天津,2025-12-04,19,28.0,优,12.0
邯郸,2025-12-04,11,62.0,良,44.0
邯郸,2025-12-04,19,64.0,良,46.0
邯郸,2025-12-04,15,50.0,优,34.0
邯郸,2025-12-04,22,82.0,良,60.0
邯郸,2025-12-04,12,60.0,良,43.0
邯郸,2025-12-04,18,59.0,良,42.0
邯郸,2025-12-04,16,52.0,良,36.0
邯郸,2025-12-04,13,62.0,良,44.0
邯郸,2025-12-05,0,83.0,良,61.0
邯郸,2025-12-04,20,72.0,良,52.0
邯郸,2025-12-05,4,79.0,良,58.0
邯郸,2025-12-05,1,84.0,良,62.0
邯郸,2025-12-04,17,56.0,良,37.0
邯郸,2025-12-05,8,92.0,良,68.0
邯郸,2025-12-05,6,84.0,良,62.0
邯郸,2025-12-04,23,87.0,良,64.0
邯郸,2025-12-04,14,59.0,良,40.0
邯郸,2025-12-05,5,84.0,良,62.0
邯郸,2025-12-05,2,83.0,良,61.0
邯郸,2025-12-04,21,77.0,良,56.0
邯郸,2025-12-05,9,79.0,良,58.0
邯郸,2025-12-05,7,88.0,良,65.0
邯郸,2025-12-05,3,82.0,良,60.0
衡水,2025-12-04,11,72.0,良,52.0
衡水,2025-12-04,19,66.0,良,31.0
衡水,2025-12-04,15,50.0,优,23.0
衡水,2025-12-04,22,57.0,良,28.0
衡水,2025-12-04,12,55.0,良,29.0
衡水,2025-12-04,18,60.0,良,28.0
衡水,2025-12-04,16,52.0,良,28.0
衡水,2025-12-05,0,51.0,良,26.0
衡水,2025-12-04,20,63.0,良,34.0
衡水,2025-12-05,4,52.0,良,32.0
衡水,2025-12-04,13,53.0,良,31.0
衡水,2025-12-05,1,52.0,良,28.0
衡水,2025-12-04,17,55.0,良,27.0
衡水,2025-12-05,8,50.0,优,32.0
衡水,2025-12-05,6,47.0,优,28.0
衡水,2025-12-04,23,56.0,良,31.0
衡水,2025-12-04,14,48.0,优,24.0
衡水,2025-12-05,5,50.0,优,29.0
衡水,2025-12-05,2,54.0,良,35.0
衡水,2025-12-04,21,62.0,良,34.0
衡水,2025-12-05,9,55.0,良,28.0
衡水,2025-12-05,7,48.0,优,32.0
衡水,2025-12-05,3,54.0,良,35.0
石家庄,2025-12-04,11,57.0,良,24.0
石家庄,2025-12-04,15,48.0,优,23.0
石家庄,2025-12-04,22,63.0,良,38.0
石家庄,2025-12-04,12,52.0,良,22.0
石家庄,2025-12-04,18,57.0,良,30.0
