city,date,hoyr,aqi,air_quality_level,pm25
北京市,2025-12-04,10.0,19.0,优,3.0
天津市,2025-12-04,11.0,26.0,优,9.0
天津市,2025-12-04,18.0,23.0,优,10.0
天津市,2025-12-04,15.0,19.0,优,4.0
天津市,2025-12-04,12.0,20.0,优,7.0
天津市,2025-12-04,16.0,18.0,优,5.0
天津市,2025-12-04,17.0,16.0,优,7.0
天津市,2025-12-04,13.0,18.0,优,5.0
天津市,2025-12-04,14.0,19.0,优,4.0
天津市,2025-12-04,10.0,35.0,优,15.0
石家庄市,2025-12-04,11.0,57.0,良,24.0
石家庄市,2025-12-04,18.0,57.0,良,30.0
石家庄市,2025-12-04,15.0,48.0,优,23.0
石家庄市,2025-12-04,12.0,52.0,良,22.0
石家庄市,2025-12-04,16.0,54.0,良,25.0
石家庄市,2025-12-04,17.0,53.0,良,30.0
石家庄市,2025-12-04,13.0,49.0,优,22.0
石家庄市,2025-12-04,14.0,47.0,优,22.0
石家庄市,2025-12-04,10.0,62.0,良,31.0
唐山市,2025-12-04,11.0,31.0,优,15.0
唐山市,2025-12-04,18.0,24.0,优,9.0
唐山市,2025-12-04,15.0,20.0,优,3.0
唐山市,2025-12-04,12.0,19.0,优,7.0
唐山市,2025-12-04,16.0,19.0,优,6.0
唐山市,2025-12-04,17.0,17.0,优,5.0
唐山市,2025-12-04,13.0,20.0,优,3.0
唐山市,2025-12-04,14.0,20.0,优,4.0
唐山市,2025-12-04,10.0,56.0,良,32.0
秦皇岛市,2025-12-04,11.0,27.0,优,11.0
秦皇岛市,2025-12-04,18.0,25.0,优,17.0
秦皇岛市,2025-12-04,15.0,20.0,优,7.0
秦皇岛市,2025-12-04,12.0,21.0,优,9.0
秦皇岛市,2025-12-04,16.0,19.0,优,9.0
秦皇岛市,2025-12-04,17.0,21.0,优,14.0
秦皇岛市,2025-12-04,13.0,20.0,优,7.0
秦皇岛市,2025-12-04,14.0,20.0,优,8.0
秦皇岛市,2025-12-04,10.0,37.0,优,17.0
邯郸市,2025-12-03,20.0,48.0,优,33.0
邯郸市,2025-12-04,11.0,62.0,良,44.0
邯郸市,2025-12-04,18.0,59.0,良,42.0
邯郸市,2025-12-04,3.0,78.0,良,57.0
邯郸市,2025-12-03,23.0,57.0,良,40.0
邯郸市,2025-12-04,15.0,50.0,优,34.0
邯郸市,2025-12-04,7.0,67.0,良,48.0
邯郸市,2025-12-03,21.0,55.0,良,39.0
邯郸市,2025-12-04,12.0,60.0,良,43.0
邯郸市,2025-12-04,16.0,52.0,良,36.0
邯郸市,2025-12-04,17.0,56.0,良,37.0
邯郸市,2025-12-04,13.0,62.0,良,44.0
邯郸市,2025-12-04,0.0,62.0,良,44.0
邯郸市,2025-12-04,8.0,68.0,良,49.0
邯郸市,2025-12-04,4.0,62.0,良,44.0
邯郸市,2025-12-04,5.0,62.0,良,44.0
邯郸市,2025-12-03,22.0,53.0,良,37.0
邯郸市,2025-12-04,6.0,67.0,良,48.0
邯郸市,2025-12-04,1.0,59.0,良,42.0
邯郸市,2025-12-04,14.0,59.0,良,40.0
邯郸市,2025-12-04,9.0,75.0,良,55.0
邯郸市,2025-12-04,10.0,77.0,良,56.0
邯郸市,2025-12-04,2.0,60.0,良,43.0
邢台市,2025-12-03,20.0,55.0,良,38.0
邢台市,2025-12-04,11.0,59.0,良,36.0
邢台市,2025-12-04,18.0,57.0,良,36.0
邢台市,2025-12-04,3.0,66.0,良,39.0
邢台市,2025-12-03,23.0,71.0,良,40.0
邢台市,2025-12-04,15.0,54.0,良,36.0
邢台市,2025-12-04,7.0,66.0,良,45.0
邢台市,2025-12-03,21.0,60.0,良,36.0
邢台市,2025-12-04,12.0,62.0,良,31.0
邢台市,2025-12-04,16.0,53.0,良,34.0
邢台市,2025-12-04,17.0,54.0,良,30.0
邢台市,2025-12-04,13.0,82.0,良,60.0
邢台市,2025-12-04,0.0,64.0,良,46.0
邢台市,2025-12-04,8.0,68.0,良,45.0
邢台市,2025-12-04,4.0,58.0,良,34.0
邢台市,2025-12-04,5.0,65.0,良,47.0
邢台市,2025-12-03,22.0,62.0,良,33.0
邢台市,2025-12-04,6.0,65.0,良,38.0
邢台市,2025-12-04,1.0,95.0,良,71.0
邢台市,2025-12-04,14.0,74.0,良,54.0
邢台市,2025-12-04,9.0,67.0,良,40.0
邢台市,2025-12-04,10.0,58.0,良,33.0
邢台市,2025-12-04,2.0,68.0,良,49.0
保定市,2025-12-03,20.0,58.0,良,32.0
保定市,2025-12-04,2.0,67.0,良,48.0
保定市,2025-12-04,11.0,66.0,良,41.0
保定市,2025-12-04,18.0,57.0,良,24.0
保定市,2025-12-04,3.0,73.0,良,53.0
保定市,2025-12-03,23.0,63.0,良,45.0
保定市,2025-12-04,15.0,39.0,优,14.0
保定市,2025-12-04,7.0,74.0,良,54.0
保定市,2025-12-03,21.0,62.0,良,40.0
保定市,2025-12-04,12.0,61.0,良,33.0
保定市,2025-12-04,16.0,40.0,优,21.0
保定市,2025-12-04,17.0,47.0,优,18.0
保定市,2025-12-04,13.0,51.0,良,23.0
保定市,2025-12-04,8.0,75.0,良,52.0
保定市,2025-12-04,4.0,78.0,良,57.0
保定市,2025-12-04,5.0,77.0,良,56.0
保定市,2025-12-03,22.0,64.0,良,41.0
保定市,2025-12-04,6.0,75.0,良,55.0
保定市,2025-12-04,1.0,63.0,良,45.0
保定市,2025-12-04,14.0,46.0,优,19.0
保定市,2025-12-04,9.0,77.0,良,53.0
保定市,2025-12-04,10.0,73.0,良,52.0
保定市,2025-12-04,0.0,64.0,良,46.0
承德市,2025-12-03,20.0,37.0,优,24.0
承德市,2025-12-04,2.0,42.0,优,26.0
承德市,2025-12-04,11.0,20.0,优,9.0
承德市,2025-12-04,18.0,19.0,优,8.0
承德市,2025-12-04,3.0,37.0,优,18.0
承德市,2025-12-03,23.0,39.0,优,18.0
承德市,2025-12-04,15.0,21.0,优,5.0
承德市,2025-12-04,7.0,32.0,优,18.0
承德市,2025-12-03,21.0,36.0,优,23.0
承德市,2025-12-04,12.0,20.0,优,7.0
承德市,2025-12-04,16.0,20.0,优,6.0
承德市,2025-12-04,17.0,24.0,优,8.0
承德市,2025-12-04,13.0,20.0,优,8.0
承德市,2025-12-04,8.0,44.0,优,22.0
承德市,2025-12-04,4.0,39.0,优,19.0
承德市,2025-12-04,5.0,37.0,优,22.0
承德市,2025-12-03,22.0,35.0,优,22.0
承德市,2025-12-04,6.0,32.0,优,19.0
承德市,2025-12-04,1.0,44.0,优,21.0
承德市,2025-12-04,14.0,25.0,优,8.0
承德市,2025-12-04,9.0,38.0,优,12.0
承德市,2025-12-04,10.0,19.0,优,3.0
承德市,2025-12-04,0.0,38.0,优,20.0
沧州市,2025-12-03,20.0,54.0,良,30.0
沧州市,2025-12-04,2.0,62.0,良,44.0
沧州市,2025-12-04,11.0,63.0,良,38.0
沧州市,2025-12-04,18.0,36.0,优,15.0
沧州市,2025-12-04,3.0,62.0,良,44.0
沧州市,2025-12-03,23.0,56.0,良,36.0
沧州市,2025-12-04,15.0,37.0,优,14.0
沧州市,2025-12-04,7.0,72.0,良,52.0
沧州市,2025-12-03,21.0,55.0,良,34.0
沧州市,2025-12-04,12.0,69.0,良,19.0
沧州市,2025-12-04,16.0,31.0,优,11.0
沧州市,2025-12-04,17.0,31.0,优,12.0
沧州市,2025-12-04,13.0,64.0,良,15.0
沧州市,2025-12-04,8.0,72.0,良,52.0
沧州市,2025-12-04,4.0,70.0,良,51.0
沧州市,2025-12-04,5.0,73.0,良,53.0
沧州市,2025-12-04,6.0,72.0,良,52.0
沧州市,2025-12-04,1.0,55.0,良,35.0
沧州市,2025-12-04,14.0,50.0,优,12.0
沧州市,2025-12-04,9.0,79.0,良,58.0
沧州市,2025-12-04,10.0,78.0,良,57.0
沧州市,2025-12-04,0.0,54.0,良,36.0
沧州市,2025-12-03,22.0,54.0,良,35.0
廊坊市,2025-12-03,20.0,57.0,良,39.0
廊坊市,2025-12-04,2.0,72.0,良,52.0
廊坊市,2025-12-04,11.0,21.0,优,12.0
廊坊市,2025-12-04,18.0,20.0,优,8.0
廊坊市,2025-12-04,3.0,72.0,良,52.0
廊坊市,2025-12-03,23.0,56.0,良,35.0
廊坊市,2025-12-04,15.0,20.0,优,6.0
廊坊市,2025-12-04,7.0,58.0,良,24.0
廊坊市,2025-12-03,21.0,60.0,良,40.0
廊坊市,2025-12-04,12.0,28.0,优,19.0
廊坊市,2025-12-04,16.0,19.0,优,8.0
廊坊市,2025-12-04,17.0,17.0,优,5.0
廊坊市,2025-12-04,13.0,19.0,优,6.0
廊坊市,2025-12-04,8.0,47.0,优,19.0
廊坊市,2025-12-04,4.0,77.0,良,56.0
廊坊市,2025-12-04,5.0,82.0,良,60.0
廊坊市,2025-12-04,6.0,74.0,良,54.0
廊坊市,2025-12-04,1.0,77.0,良,56.0
廊坊市,2025-12-04,14.0,20.0,优,5.0
廊坊市,2025-12-04,9.0,44.0,优,24.0
廊坊市,2025-12-04,10.0,31.0,优,11.0
廊坊市,2025-12-04,0.0,68.0,良,49.0
廊坊市,2025-12-03,22.0,56.0,良,33.0
衡水市,2025-12-03,20.0,46.0,优,26.0
衡水市,2025-12-04,2.0,69.0,良,50.0
衡水市,2025-12-04,11.0,72.0,良,52.0
衡水市,2025-12-04,18.0,60.0,良,28.0
衡水市,2025-12-04,3.0,68.0,良,49.0
衡水市,2025-12-03,23.0,56.0,良,37.0
衡水市,2025-12-04,15.0,50.0,优,23.0
衡水市,2025-12-04,7.0,89.0,良,66.0
衡水市,2025-12-03,21.0,43.0,优,26.0
衡水市,2025-12-04,12.0,55.0,良,29.0
衡水市,2025-12-04,16.0,52.0,良,28.0
衡水市,2025-12-04,17.0,55.0,良,27.0
衡水市,2025-12-04,13.0,53.0,良,31.0
衡水市,2025-12-04,8.0,89.0,良,66.0
衡水市,2025-12-04,4.0,79.0,良,58.0
衡水市,2025-12-04,5.0,77.0,良,56.0
衡水市,2025-12-04,6.0,84.0,良,62.0
衡水市,2025-12-04,1.0,60.0,良,42.0
衡水市,2025-12-04,14.0,48.0,优,24.0
衡水市,2025-12-04,9.0,82.0,良,60.0
衡水市,2025-12-04,10.0,79.0,良,58.0
衡水市,2025-12-04,0.0,62.0,良,44.0
衡水市,2025-12-03,22.0,49.0,优,30.0
北京市,2025-12-04,22.0,34.0,优,16.0
北京市,2025-12-05,0.0,34.0,优,16.0
北京市,2025-12-05,2.0,32.0,优,14.0
北京市,2025-12-05,6.0,31.0,优,14.0
北京市,2025-12-05,8.0,31.0,优,14.0
北京市,2025-12-04,20.0,28.0,优,14.0
北京市,2025-12-05,4.0,32.0,优,15.0
北京市,2025-12-04,23.0,37.0,优,18.0
北京市,2025-12-05,1.0,32.0,优,15.0
北京市,2025-12-04,21.0,29.0,优,14.0
北京市,2025-12-05,7.0,31.0,优,15.0
北京市,2025-12-05,3.0,32.0,优,15.0
北京市,2025-12-05,5.0,31.0,优,14.0
北京市,2025-12-04,19.0,25.0,优,12.0
天津市,2025-12-04,22.0,42.0,优,20.0
天津市,2025-12-05,0.0,53.0,良,29.0
天津市,2025-12-05,2.0,56.0,良,34.0
天津市,2025-12-05,6.0,45.0,优,25.0
天津市,2025-12-05,8.0,49.0,优,26.0
天津市,2025-12-04,20.0,34.0,优,16.0
天津市,2025-12-05,4.0,54.0,良,33.0
天津市,2025-12-04,23.0,51.0,良,28.0
天津市,2025-12-05,1.0,55.0,良,31.0
天津市,2025-12-04,21.0,35.0,优,16.0
天津市,2025-12-05,7.0,49.0,优,28.0
天津市,2025-12-05,3.0,56.0,良,35.0
天津市,2025-12-05,5.0,50.0,优,29.0
天津市,2025-12-04,19.0,28.0,优,12.0
石家庄市,2025-12-04,22.0,63.0,良,38.0
石家庄市,2025-12-05,0.0,61.0,良,39.0
石家庄市,2025-12-05,2.0,65.0,良,44.0
石家庄市,2025-12-05,6.0,67.0,良,48.0
石家庄市,2025-12-05,8.0,73.0,良,49.0
石家庄市,2025-12-04,20.0,59.0,良,35.0
石家庄市,2025-12-05,4.0,66.0,良,46.0
石家庄市,2025-12-04,23.0,60.0,良,38.0
石家庄市,2025-12-05,1.0,64.0,良,43.0
石家庄市,2025-12-04,21.0,61.0,良,39.0
石家庄市,2025-12-05,7.0,69.0,良,48.0
石家庄市,2025-12-05,3.0,67.0,良,46.0
石家庄市,2025-12-05,5.0,67.0,良,44.0
石家庄市,2025-12-04,19.0,57.0,良,31.0
唐山市,2025-12-04,22.0,35.0,优,23.0
唐山市,2025-12-05,0.0,33.0,优,20.0
唐山市,2025-12-05,2.0,43.0,优,24.0
唐山市,2025-12-05,6.0,50.0,优,22.0
唐山市,2025-12-05,8.0,54.0,良,30.0
唐山市,2025-12-04,20.0,31.0,优,15.0
唐山市,2025-12-05,4.0,43.0,优,23.0
唐山市,2025-12-04,23.0,33.0,优,20.0
唐山市,2025-12-05,1.0,37.0,优,23.0
唐山市,2025-12-04,21.0,35.0,优,19.0
唐山市,2025-12-05,7.0,48.0,优,23.0
唐山市,2025-12-05,3.0,38.0,优,24.0
唐山市,2025-12-05,5.0,49.0,优,25.0
唐山市,2025-12-04,19.0,29.0,优,15.0
秦皇岛市,2025-12-04,22.0,46.0,优,27.0
秦皇岛市,2025-12-05,0.0,38.0,优,23.0
秦皇岛市,2025-12-05,2.0,38.0,优,26.0
秦皇岛市,2025-12-05,6.0,29.0,优,15.0
秦皇岛市,2025-12-05,8.0,29.0,优,15.0
秦皇岛市,2025-12-04,20.0,36.0,优,22.0
秦皇岛市,2025-12-05,4.0,31.0,优,18.0
秦皇岛市,2025-12-04,23.0,41.0,优,24.0
秦皇岛市,2025-12-05,1.0,35.0,优,23.0
秦皇岛市,2025-12-04,21.0,40.0,优,23.0
秦皇岛市,2025-12-05,7.0,31.0,优,15.0
秦皇岛市,2025-12-05,3.0,32.0,优,21.0
秦皇岛市,2025-12-05,5.0,29.0,优,17.0
秦皇岛市,2025-12-04,19.0,33.0,优,19.0
邯郸市,2025-12-04,19.0,64.0,良,46.0
邯郸市,2025-12-04,22.0,82.0,良,60.0
邯郸市,2025-12-05,0.0,83.0,良,61.0
邯郸市,2025-12-05,2.0,83.0,良,61.0
邯郸市,2025-12-05,6.0,84.0,良,62.0
邯郸市,2025-12-05,8.0,92.0,良,68.0
邯郸市,2025-12-04,20.0,72.0,良,52.0
邯郸市,2025-12-05,4.0,79.0,良,58.0
邯郸市,2025-12-04,23.0,87.0,良,64.0
