date,city,pm25,data_quality_flag
2015-01-17,唐山市,53.0,0
2015-01-17,秦皇岛市,58.0,0
2015-01-17,邯郸市,98.0,0
2015-01-17,邢台市,100.0,0
2015-01-17,保定市,134.0,0
2015-01-17,张家口市,28.0,0
2015-01-17,承德市,31.0,0
2015-01-17,沧州市,37.0,0
2015-01-17,廊坊市,42.0,0
2015-01-17,衡水市,73.0,0
2015-01-18,北京市,68.0,0
2015-01-18,天津市,92.0,0
2015-01-18,石家庄市,54.0,0
2015-01-18,唐山市,82.0,0
2015-01-18,秦皇岛市,104.0,0
2015-01-18,邯郸市,42.0,0
2015-01-18,邢台市,53.0,0
2015-01-18,保定市,154.0,0
2015-01-18,张家口市,27.0,0
2015-01-18,承德市,38.0,0
2015-01-18,沧州市,72.0,0
2015-01-18,廊坊市,106.0,0
2015-01-18,衡水市,93.0,0
2015-01-19,北京市,42.0,0
2015-01-19,天津市,30.0,0
2015-01-19,石家庄市,55.0,0
2015-01-19,唐山市,58.0,0
2015-01-19,秦皇岛市,21.0,0
2015-01-19,邯郸市,62.0,0
2015-01-19,邢台市,62.0,0
2015-01-19,保定市,121.0,0
2015-01-19,张家口市,35.0,0
2015-01-19,承德市,29.0,0
2015-01-19,沧州市,53.0,0
2015-01-19,廊坊市,44.0,0
2015-01-19,衡水市,78.0,0
2015-01-20,北京市,84.0,0
2015-01-20,天津市,87.0,0
2015-01-20,石家庄市,115.0,0
2015-01-20,唐山市,99.0,0
2015-01-20,秦皇岛市,38.0,0
2015-01-20,邯郸市,129.0,0
2015-01-20,邢台市,144.0,0
2015-01-20,保定市,143.0,0
2015-01-20,张家口市,37.0,0
2015-01-20,承德市,63.0,0
2015-01-20,沧州市,103.0,0
2015-01-20,廊坊市,89.0,0
2015-01-20,衡水市,142.0,0
2015-01-21,北京市,19.0,0
2015-01-21,天津市,68.0,0
2015-01-21,石家庄市,70.0,0
2015-01-21,唐山市,62.0,0
2015-01-21,秦皇岛市,37.0,0
2015-01-21,邯郸市,77.0,0
2015-01-21,邢台市,85.0,0
2015-01-21,保定市,110.0,0
2015-01-21,张家口市,17.0,0
2015-01-21,承德市,59.0,0
2015-01-21,沧州市,72.0,0
2015-01-21,廊坊市,44.0,0
2015-01-21,衡水市,101.0,0
2015-01-22,北京市,97.0,0
2015-01-22,天津市,88.0,0
2015-01-22,石家庄市,114.0,0
2015-01-22,唐山市,110.0,0
2015-01-22,秦皇岛市,98.0,0
2015-01-22,邯郸市,88.0,0
2015-01-22,邢台市,111.0,0
2015-01-22,保定市,168.0,0
2015-01-22,张家口市,37.0,0
2015-01-22,承德市,40.0,0
2015-01-22,沧州市,50.0,0
2015-01-22,廊坊市,129.0,0
2015-01-22,衡水市,84.0,0
2015-01-23,北京市,206.0,0
2015-01-23,天津市,150.0,0
2015-01-23,石家庄市,164.0,0
2015-01-23,唐山市,148.0,0
2015-01-23,秦皇岛市,144.0,0
2015-01-23,邯郸市,159.0,0
2015-01-23,邢台市,185.0,0
2015-01-23,保定市,280.0,0
2015-01-23,张家口市,34.0,0
2015-01-23,承德市,102.0,0
2015-01-23,沧州市,123.0,0
2015-01-23,廊坊市,174.0,0
2015-01-23,衡水市,146.0,0
2015-01-24,北京市,95.0,0
2015-01-24,天津市,110.0,0
2015-01-24,石家庄市,184.0,0
2015-01-24,唐山市,129.0,0
2015-01-24,秦皇岛市,63.0,0
2015-01-24,邯郸市,287.0,0
2015-01-24,邢台市,222.0,0
2015-01-24,保定市,218.0,0
2015-01-24,张家口市,35.0,0
2015-01-24,承德市,35.0,0
2015-01-24,沧州市,113.0,0
2015-01-24,廊坊市,146.0,0
2015-01-24,衡水市,259.0,0
2015-01-25,北京市,134.0,0
2015-01-25,天津市,77.0,0
2015-01-25,石家庄市,96.0,0
2015-01-25,唐山市,123.0,0
2015-01-25,秦皇岛市,111.0,0
2015-01-25,邯郸市,117.0,0
2015-01-25,邢台市,107.0,0
2015-01-25,保定市,126.0,0
2015-01-25,张家口市,71.0,0
2015-01-25,承德市,72.0,0
2015-01-25,沧州市,56.0,0
2015-01-25,廊坊市,88.0,0
2015-01-25,衡水市,95.0,0
2015-01-26,北京市,102.0,0
2015-01-26,天津市,146.0,0
2015-01-26,石家庄市,190.0,0
2015-01-26,唐山市,144.0,0
2015-01-26,秦皇岛市,104.0,0
2015-01-26,邯郸市,205.0,0
2015-01-26,邢台市,225.0,0
2015-01-26,保定市,241.0,0
2015-01-26,张家口市,23.0,0
2015-01-26,承德市,65.0,0
2015-01-26,沧州市,109.0,0
2015-01-26,廊坊市,142.0,0
2015-01-26,衡水市,173.0,0
2015-01-27,北京市,16.0,0
2015-01-27,天津市,17.0,0
2015-01-27,石家庄市,47.0,0
2015-01-27,唐山市,30.0,0
2015-01-27,秦皇岛市,30.0,0
2015-01-27,邯郸市,78.0,0
2015-01-27,邢台市,47.0,0
2015-01-27,保定市,63.0,0
2015-01-27,张家口市,17.0,0
2015-01-27,承德市,17.0,0
2015-01-27,沧州市,28.0,0
2015-01-27,廊坊市,17.0,0
2015-01-27,衡水市,54.0,0
2015-01-28,北京市,36.0,0
2015-01-28,天津市,62.0,0
2015-01-28,石家庄市,90.0,0
2015-01-28,唐山市,64.0,0
2015-01-28,秦皇岛市,36.0,0
2015-01-28,邯郸市,59.0,0
2015-01-28,邢台市,71.0,0
2015-01-28,保定市,174.0,0
2015-01-28,张家口市,25.0,0
2015-01-28,承德市,30.0,0
2015-01-28,沧州市,47.0,0
2015-01-28,廊坊市,64.0,0
2015-01-28,衡水市,54.0,0
2015-01-29,北京市,62.0,0
2015-01-29,天津市,60.0,0
2015-01-29,石家庄市,124.0,0
2015-01-29,唐山市,72.0,0
2015-01-29,秦皇岛市,80.0,0
2015-01-29,邯郸市,127.0,0
2015-01-29,邢台市,135.0,0
2015-01-29,保定市,140.0,0
2015-01-29,张家口市,26.0,0
2015-01-29,承德市,36.0,0
2015-01-29,沧州市,62.0,0
2015-01-29,廊坊市,60.0,0
2015-01-29,衡水市,103.0,0
2015-01-30,北京市,11.0,0
2015-01-30,天津市,18.0,0
2015-01-30,石家庄市,76.0,0
2015-01-30,唐山市,27.0,0
2015-01-30,秦皇岛市,30.0,0
2015-01-30,邯郸市,141.0,0
2015-01-30,邢台市,88.0,0
2015-01-30,保定市,145.0,0
2015-01-30,张家口市,20.0,0
2015-01-30,承德市,16.0,0
2015-01-30,沧州市,40.0,0
2015-01-30,廊坊市,18.0,0
2015-01-30,衡水市,97.0,0
2015-01-31,北京市,29.0,0
2015-01-31,天津市,37.0,0
2015-01-31,石家庄市,120.0,0
2015-01-31,唐山市,48.0,0
2015-01-31,秦皇岛市,44.0,0
2015-01-31,邯郸市,112.0,0
2015-01-31,邢台市,114.0,0
2015-01-31,保定市,189.0,0
2015-01-31,张家口市,20.0,0
