城市,日期,小时,AQI,空气质量等级,PM2.5,PM10,SO₂,NO₂,CO,O₃,首要污染物,健康建议,措施建议,采集时间
唐山市,2025-12-03,16,19.0,优,4.0,17.0,3.0,10.0,0.2,60.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:55
唐山市,2025-12-03,03,14.0,优,6.0,13.0,3.0,12.0,0.3,44.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:55
唐山市,2025-12-03,06,36.0,优,15.0,36.0,4.0,30.0,0.4,21.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:55
唐山市,2025-12-03,09,35.0,优,17.0,35.0,4.0,31.0,0.5,31.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:55
唐山市,2025-12-03,13,21.0,优,3.0,10.0,2.0,5.0,0.2,66.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:55
唐山市,2025-12-03,07,32.0,优,17.0,32.0,3.0,36.0,0.4,16.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:55
唐山市,2025-12-03,00,17.0,优,7.0,17.0,3.0,17.0,0.5,42.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:55
唐山市,2025-12-03,10,21.0,优,7.0,21.0,4.0,19.0,0.4,47.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:55
唐山市,2025-12-03,17,21.0,优,6.0,21.0,3.0,19.0,0.3,50.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:55
唐山市,2025-12-03,04,21.0,优,9.0,21.0,3.0,18.0,0.3,34.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:55
唐山市,2025-12-03,14,22.0,优,3.0,11.0,2.0,4.0,0.2,68.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:55
唐山市,2025-12-03,01,14.0,优,6.0,14.0,3.0,13.0,0.3,44.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:55
唐山市,2025-12-03,18,32.0,优,12.0,32.0,3.0,35.0,0.4,33.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:55
秦皇岛市,2025-12-02,20,34.0,优,22.0,34.0,9.0,36.0,0.5,32.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:57
秦皇岛市,2025-12-03,11,20.0,优,7.0,15.0,5.0,6.0,0.2,62.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:57
秦皇岛市,2025-12-03,02,20.0,优,12.0,20.0,5.0,17.0,0.4,50.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:57
秦皇岛市,2025-12-03,15,20.0,优,9.0,17.0,6.0,5.0,0.3,64.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:57
秦皇岛市,2025-12-02,22,42.0,优,24.0,42.0,8.0,52.0,0.6,15.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:57
秦皇岛市,2025-12-03,05,25.0,优,11.0,25.0,5.0,14.0,0.3,52.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:57
秦皇岛市,2025-12-03,08,22.0,优,11.0,22.0,5.0,23.0,0.3,42.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:57
秦皇岛市,2025-12-03,12,20.0,优,6.0,13.0,5.0,6.0,0.2,63.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:57
秦皇岛市,2025-12-02,21,36.0,优,24.0,36.0,8.0,38.0,0.5,29.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:57
秦皇岛市,2025-12-02,23,34.0,优,22.0,34.0,7.0,44.0,0.6,25.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:57
秦皇岛市,2025-12-03,16,20.0,优,10.0,19.0,6.0,7.0,0.3,62.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:57
秦皇岛市,2025-12-03,03,19.0,优,12.0,19.0,5.0,15.0,0.4,52.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:57
秦皇岛市,2025-12-03,06,20.0,优,13.0,20.0,6.0,11.0,0.3,55.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:57
秦皇岛市,2025-12-03,09,22.0,优,8.0,22.0,5.0,18.0,0.4,50.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:57
秦皇岛市,2025-12-03,13,20.0,优,6.0,18.0,5.0,5.0,0.2,64.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:57
秦皇岛市,2025-12-03,07,19.0,优,13.0,18.0,5.0,14.0,0.3,52.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:57
秦皇岛市,2025-12-03,10,19.0,优,8.0,18.0,5.0,10.0,0.2,58.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:57
秦皇岛市,2025-12-03,00,31.0,优,14.0,31.0,5.0,18.0,0.4,51.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:57
秦皇岛市,2025-12-03,17,27.0,优,13.0,27.0,7.0,13.0,0.4,55.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:57
秦皇岛市,2025-12-03,04,20.0,优,13.0,20.0,5.0,17.0,0.4,50.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:57
秦皇岛市,2025-12-03,14,20.0,优,7.0,16.0,5.0,6.0,0.2,64.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:57
秦皇岛市,2025-12-03,01,21.0,优,12.0,21.0,5.0,15.0,0.5,53.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:57
秦皇岛市,2025-12-03,18,40.0,优,19.0,40.0,9.0,34.0,0.6,39.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:57
